StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,C1_1,C1_2,C1_3,C1_4,C1_5,AnchoredMaxDiff7,C2_1,C2_2,C2_3,C2_4,C2_5,AnchoredMaxDiff8,C3_1,C3_2,C3_3,C3_4,C3_5,AnchoredMaxDiff9,C4_1,C4_2,C4_3,C4_4,C4_5,AnchoredMaxDiff10,C5_1,C5_2,C5_3,C5_4,C5_5,AnchoredMaxDiff11,C6_1,C6_2,C6_3,C6_4,C6_5,AnchoredMaxDiff12,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,vers_MAXDIFF,1.1_MAXDIFF,1.2_MAXDIFF,1.3_MAXDIFF,1.4_MAXDIFF,1.5_MAXDIFF,2.1_MAXDIFF,2.2_MAXDIFF,2.3_MAXDIFF,2.4_MAXDIFF,2.5_MAXDIFF,3.1_MAXDIFF,3.2_MAXDIFF,3.3_MAXDIFF,3.4_MAXDIFF,3.5_MAXDIFF,4.1_MAXDIFF,4.2_MAXDIFF,4.3_MAXDIFF,4.4_MAXDIFF,4.5_MAXDIFF,5.1_MAXDIFF,5.2_MAXDIFF,5.3_MAXDIFF,5.4_MAXDIFF,5.5_MAXDIFF,6.1_MAXDIFF,6.2_MAXDIFF,6.3_MAXDIFF,6.4_MAXDIFF,6.5_MAXDIFF,revision_MAXDIFF,Q_DataPolicyViolations
2025-08-24 16:56:00,2025-08-24 16:56:00,2,,100,0,1,2025-08-24 16:56:01,R_2ueV1LV8FZ66Q7Q,,,,,,,test,,2,,,,1,1,,,2,1,,1,1,,,2,,2,2,1,,,,1,,1,,2,,1,,,,2,1,3,,,,2,2,,1,1,,1,26,Cat,Rabbit,Lizard,Horse,Dog,Hamster,Dog,Cat,Guinea pig,Bird,Horse,Bird,Guinea pig,Hamster,Cat,Rabbit,Turtle,Horse,Lizard,Fish,Turtle,Hamster,Dog,Cat,Horse,Dog,Fish,Hamster,Bird,Lizard,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:01,2025-08-24 16:56:01,2,,100,0,1,2025-08-24 16:56:01,R_3QLiGf79TvvsVdc,,,,,,,test,,,,2,1,,2,,,1,,2,3,1,,,,2,3,,2,1,,,2,2,1,,,,2,,2,,1,,2,,,,1,2,,2,1,,2,27,Bird,Lizard,Hamster,Dog,Turtle,Guinea pig,Turtle,Lizard,Hamster,Cat,Rabbit,Fish,Guinea pig,Lizard,Bird,Horse,Hamster,Cat,Rabbit,Fish,Hamster,Dog,Horse,Bird,Rabbit,Fish,Cat,Bird,Turtle,Dog,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:01,2025-08-24 16:56:01,2,,100,0,1,2025-08-24 16:56:02,R_cuO7AQ98WMIT5Nc,,,,,,,test,,,1,2,,,2,1,2,,,,1,,2,1,,,1,,,2,,1,3,,2,1,,,3,1,,,2,,2,,,,2,1,,2,1,,2,28,Horse,Dog,Bird,Hamster,Turtle,Fish,Horse,Guinea pig,Rabbit,Bird,Hamster,Fish,Horse,Bird,Lizard,Lizard,Bird,Cat,Turtle,Horse,Dog,Guinea pig,Rabbit,Lizard,Fish,Rabbit,Hamster,Turtle,Guinea pig,Cat,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:02,2025-08-24 16:56:02,2,,100,0,1,2025-08-24 16:56:02,R_diq0N5xgqbvthtk,,,,,,,test,,2,1,,,,3,2,,,1,,2,,1,,2,,3,,,2,1,,1,,,,1,2,3,,,2,1,,2,,,,2,2,,1,2,,1,29,Hamster,Rabbit,Cat,Bird,Dog,Bird,Guinea pig,Lizard,Dog,Cat,Cat,Horse,Guinea pig,Turtle,Hamster,Horse,Dog,Rabbit,Lizard,Turtle,Rabbit,Lizard,Horse,Fish,Bird,Turtle,Hamster,Fish,Cat,Guinea pig,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:02,2025-08-24 16:56:02,2,,100,0,1,2025-08-24 16:56:02,R_bPETOPtghbqJvgi,,,,,,,test,,1,,2,,,1,,2,,1,,3,2,1,,,,1,,,1,,2,3,2,,,,1,1,1,,2,,,1,,,,2,2,,2,1,,2,30,Turtle,Horse,Cat,Hamster,Dog,Cat,Dog,Bird,Lizard,Guinea pig,Bird,Cat,Rabbit,Guinea pig,Fish,Lizard,Hamster,Turtle,Fish,Rabbit,Fish,Bird,Dog,Horse,Hamster,Horse,Fish,Guinea pig,Turtle,Lizard,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:02,2025-08-24 16:56:03,2,,100,1,1,2025-08-24 16:56:03,R_9ysKC4szNJFiWXQ,,,,,,,test,,1,2,,,,3,1,,,,2,1,,,2,1,,3,1,,,2,,3,2,,,,1,2,,2,,1,,3,,,,1,2,,2,1,,2,31,Fish,Horse,Bird,Hamster,Turtle,Cat,Lizard,Hamster,Rabbit,Horse,Guinea pig,Hamster,Rabbit,Dog,Fish,Bird,Cat,Fish,Guinea pig,Lizard,Rabbit,Turtle,Dog,Bird,Cat,Hamster,Dog,Guinea pig,Horse,Rabbit,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:03,2025-08-24 16:56:03,2,,100,0,1,2025-08-24 16:56:03,R_3scKNQDIzCplOIK,,,,,,,test,,,,2,,1,1,1,,,,2,3,2,1,,,,3,1,2,,,,1,,,2,,1,2,2,1,,,,2,,,,2,2,,2,2,,2,32,Dog,Fish,Rabbit,Turtle,Horse,Fish,Hamster,Dog,Guinea pig,Bird,Bird,Horse,Lizard,Fish,Guinea pig,Guinea pig,Dog,Hamster,Bird,Cat,Hamster,Cat,Horse,Rabbit,Turtle,Rabbit,Lizard,Turtle,Cat,Dog,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:03,2025-08-24 16:56:04,2,,100,1,1,2025-08-24 16:56:04,R_5baDkVDKj2ljr3E,,,,,,,test,,,2,1,,,1,2,,,1,,1,,,1,,2,3,,2,1,,,1,1,2,,,,3,2,1,,,,1,,,,2,2,,1,1,,2,33,Dog,Rabbit,Cat,Turtle,Guinea pig,Hamster,Horse,Fish,Guinea pig,Lizard,Cat,Dog,Bird,Hamster,Turtle,Horse,Fish,Lizard,Dog,Hamster,Turtle,Cat,Rabbit,Bird,Horse,Guinea pig,Lizard,Horse,Cat,Bird,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:04,2025-08-24 16:56:04,2,,100,0,1,2025-08-24 16:56:04,R_eD4l7mre8njtkwe,,,,,,,test,,,,,1,2,2,,2,1,,,1,1,,,,2,2,,2,,,1,2,1,2,,,,3,2,,1,,,1,,,,1,2,,2,2,,1,34,Lizard,Rabbit,Dog,Cat,Fish,Cat,Guinea pig,Bird,Lizard,Turtle,Turtle,Bird,Rabbit,Fish,Dog,Rabbit,Hamster,Guinea pig,Horse,Lizard,Bird,Cat,Turtle,Hamster,Rabbit,Horse,Fish,Cat,Turtle,Hamster,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:04,2025-08-24 16:56:05,2,,100,1,1,2025-08-24 16:56:05,R_8IlXnPCdfdH0MLk,,,,,,,test,,,2,,1,,2,,1,,,2,1,2,,,,1,3,,2,1,,,3,,1,2,,,2,,1,,,2,1,,,,1,2,,1,1,,1,35,Hamster,Bird,Turtle,Guinea pig,Rabbit,Dog,Rabbit,Hamster,Bird,Lizard,Turtle,Lizard,Guinea pig,Cat,Horse,Guinea pig,Fish,Dog,Horse,Turtle,Lizard,Guinea pig,Horse,Dog,Cat,Rabbit,Horse,Cat,Fish,Hamster,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:05,2025-08-24 16:56:05,2,,100,0,1,2025-08-24 16:56:05,R_a5iun19xbuUpSyW,,,,,,,test,,2,,,,1,3,2,,,,1,1,2,,,1,,2,2,1,,,,1,,1,2,,,2,1,,,2,,1,,,,2,2,,1,2,,2,36,Fish,Guinea pig,Dog,Turtle,Rabbit,Guinea pig,Rabbit,Horse,Hamster,Fish,Turtle,Dog,Cat,Lizard,Hamster,Lizard,Bird,Turtle,Fish,Horse,Dog,Cat,Guinea pig,Horse,Bird,Rabbit,Lizard,Hamster,Bird,Guinea pig,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:05,2025-08-24 16:56:06,2,,100,1,1,2025-08-24 16:56:06,R_6DTJN4eFdLRiw9U,,,,,,,test,,,2,,,1,2,,,2,,1,1,,,,2,1,2,1,2,,,,2,,,,1,2,3,,,1,2,,3,,,,1,1,,1,1,,2,37,Horse,Fish,Cat,Guinea pig,Turtle,Lizard,Guinea pig,Hamster,Fish,Dog,Rabbit,Lizard,Fish,Turtle,Horse,Turtle,Cat,Lizard,Bird,Hamster,Hamster,Bird,Dog,Cat,Rabbit,Cat,Turtle,Horse,Hamster,Bird,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:06,2025-08-24 16:56:06,2,,100,0,1,2025-08-24 16:56:06,R_d5slFS9q4IWThR4,,,,,,,test,,2,,,,1,2,2,,,,1,2,1,2,,,,2,1,,,2,,2,,1,,,2,3,1,,2,,,2,,,,1,2,,2,1,,1,38,Rabbit,Turtle,Dog,Bird,Cat,Dog,Guinea pig,Rabbit,Hamster,Fish,Turtle,Hamster,Lizard,Fish,Rabbit,Cat,Lizard,Horse,Dog,Guinea pig,Bird,Cat,Guinea pig,Turtle,Hamster,Lizard,Bird,Fish,Guinea pig,Horse,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:06,2025-08-24 16:56:06,2,,100,0,1,2025-08-24 16:56:07,R_6ybTzrDfN5xLiDk,,,,,,,test,,1,,,2,,3,2,,,1,,3,2,,,,1,3,,,,2,1,2,,1,,,2,3,,,,1,2,1,,,,2,1,,2,1,,2,39,Horse,Hamster,Lizard,Dog,Cat,Fish,Cat,Horse,Turtle,Rabbit,Hamster,Dog,Turtle,Guinea pig,Horse,Guinea pig,Turtle,Bird,Lizard,Dog,Cat,Guinea pig,Rabbit,Fish,Bird,Bird,Fish,Cat,Rabbit,Hamster,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:07,2025-08-24 16:56:07,2,,100,0,1,2025-08-24 16:56:07,R_3f4V6LjglJ8BOQK,,,,,,,test,,,,,2,1,2,,1,2,,,2,,2,,1,,1,,2,,,1,2,1,,,2,,2,,,2,,1,1,,,,2,1,,2,1,,2,40,Bird,Lizard,Rabbit,Fish,Guinea pig,Lizard,Cat,Guinea pig,Turtle,Hamster,Hamster,Horse,Turtle,Cat,Dog,Turtle,Bird,Dog,Horse,Fish,Fish,Dog,Horse,Guinea pig,Rabbit,Cat,Guinea pig,Bird,Rabbit,Horse,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:07,2025-08-24 16:56:07,2,,100,0,1,2025-08-24 16:56:07,R_0cuGitvoAnJJgrQ,,,,,,,test,,,,1,,2,1,2,,,1,,3,,,,1,2,1,,1,,,2,2,,,,2,1,3,2,,,1,,1,,,,2,1,,1,2,,2,41,Turtle,Guinea pig,Dog,Hamster,Bird,Lizard,Dog,Rabbit,Turtle,Guinea pig,Guinea pig,Lizard,Horse,Fish,Dog,Fish,Cat,Turtle,Bird,Hamster,Bird,Fish,Lizard,Cat,Rabbit,Horse,Rabbit,Cat,Lizard,Fish,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:08,2025-08-24 16:56:08,2,,100,0,1,2025-08-24 16:56:08,R_5iKuDSdYMe50FCu,,,,,,,test,,,2,,1,,2,,,1,,2,3,,1,2,,,1,,,,2,1,2,,1,,2,,1,,,1,,2,2,,,,1,2,,2,1,,2,42,Bird,Hamster,Guinea pig,Rabbit,Fish,Guinea pig,Turtle,Rabbit,Fish,Bird,Fish,Cat,Hamster,Lizard,Dog,Hamster,Horse,Cat,Bird,Turtle,Horse,Lizard,Turtle,Guinea pig,Cat,Cat,Guinea pig,Horse,Dog,Lizard,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:08,2025-08-24 16:56:08,2,,100,0,1,2025-08-24 16:56:08,R_d4FwC7h7EjNwb0G,,,,,,,test,,,,,2,1,2,,,2,,1,3,,,1,,2,2,1,,,,2,2,,1,2,,,3,,2,,,1,3,,,,1,1,,1,2,,1,43,Rabbit,Hamster,Bird,Guinea pig,Dog,Cat,Horse,Guinea pig,Bird,Hamster,Fish,Turtle,Rabbit,Dog,Cat,Turtle,Fish,Lizard,Rabbit,Horse,Bird,Cat,Dog,Hamster,Guinea pig,Lizard,Rabbit,Horse,Turtle,Fish,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:08,2025-08-24 16:56:09,2,,100,1,1,2025-08-24 16:56:09,R_bCMnI512n2eY0NE,,,,,,,test,,1,,,,2,1,2,,,1,,3,,,2,1,,2,,,1,,2,3,1,,,2,,3,,2,,,1,2,,,,1,1,,1,2,,1,44,Turtle,Rabbit,Cat,Hamster,Horse,Rabbit,Guinea pig,Lizard,Fish,Bird,Lizard,Hamster,Dog,Cat,Turtle,Hamster,Horse,Guinea pig,Dog,Fish,Cat,Bird,Horse,Lizard,Rabbit,Horse,Fish,Turtle,Guinea pig,Cat,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:09,2025-08-24 16:56:09,2,,100,0,1,2025-08-24 16:56:09,R_08PQe3To1fi9nVA,,,,,,,test,,,,1,,2,3,,,,1,2,1,,2,,1,,3,,2,1,,,3,,,2,,1,2,1,,,,2,1,,,,2,1,,2,1,,1,45,Horse,Rabbit,Turtle,Guinea pig,Dog,Rabbit,Turtle,Lizard,Dog,Bird,Turtle,Guinea pig,Fish,Hamster,Lizard,Bird,Cat,Guinea pig,Lizard,Rabbit,Lizard,Hamster,Cat,Turtle,Guinea pig,Hamster,Fish,Dog,Cat,Horse,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:09,2025-08-24 16:56:10,2,,100,1,1,2025-08-24 16:56:10,R_1X0mb30YZhOeBBI,,,,,,,test,,2,,,,1,1,,,2,1,,1,2,,1,,,1,1,,2,,,3,2,,,,1,3,,1,,2,,1,,,,2,1,,2,1,,2,46,Turtle,Rabbit,Cat,Dog,Hamster,Lizard,Bird,Horse,Turtle,Fish,Horse,Guinea pig,Fish,Bird,Dog,Hamster,Cat,Rabbit,Fish,Guinea pig,Dog,Horse,Lizard,Hamster,Cat,Fish,Turtle,Guinea pig,Lizard,Rabbit,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:10,2025-08-24 16:56:10,2,,100,0,1,2025-08-24 16:56:10,R_6Xs4TFKmtY0SLMq,,,,,,,test,,,2,,,1,1,,2,,,1,1,,,1,2,,3,1,,,2,,1,,,1,,2,2,,,,1,2,2,,,,1,1,,2,2,,2,47,Horse,Rabbit,Lizard,Cat,Dog,Fish,Bird,Guinea pig,Rabbit,Hamster,Guinea pig,Lizard,Dog,Bird,Cat,Bird,Hamster,Cat,Lizard,Rabbit,Turtle,Cat,Fish,Guinea pig,Lizard,Lizard,Turtle,Hamster,Dog,Horse,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:10,2025-08-24 16:56:10,2,,100,0,1,2025-08-24 16:56:11,R_cBjfg0F6YuzvUG2,,,,,,,test,,,1,,2,,2,1,2,,,,1,1,2,,,,3,2,,,,1,1,,,2,1,,2,,,2,1,,3,,,,1,1,,1,2,,2,48,Dog,Turtle,Lizard,Hamster,Bird,Hamster,Guinea pig,Cat,Bird,Horse,Fish,Dog,Horse,Rabbit,Turtle,Bird,Lizard,Fish,Guinea pig,Cat,Guinea pig,Cat,Rabbit,Dog,Fish,Rabbit,Horse,Hamster,Turtle,Lizard,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:11,2025-08-24 16:56:11,2,,100,0,1,2025-08-24 16:56:11,R_1HLXKaJqcemxg6W,,,,,,,test,,,1,,,2,3,2,,1,,,2,,2,,1,,3,,,1,2,,3,,,1,,2,3,,,,1,2,3,,,,2,1,,1,2,,2,49,Guinea pig,Hamster,Horse,Lizard,Rabbit,Fish,Lizard,Rabbit,Turtle,Horse,Horse,Rabbit,Guinea pig,Bird,Cat,Rabbit,Guinea pig,Bird,Dog,Turtle,Hamster,Dog,Cat,Guinea pig,Bird,Dog,Turtle,Lizard,Hamster,Fish,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:11,2025-08-24 16:56:11,2,,100,0,1,2025-08-24 16:56:11,R_6DmNzngk1zPAh5s,,,,,,,test,,,,2,,1,2,,1,,,2,2,2,,1,,,2,,,2,,1,1,2,1,,,,1,,,1,2,,1,,,,2,1,,1,1,,1,50,Rabbit,Turtle,Guinea pig,Bird,Fish,Turtle,Hamster,Cat,Guinea pig,Bird,Cat,Horse,Lizard,Turtle,Guinea pig,Guinea pig,Dog,Rabbit,Horse,Lizard,Bird,Fish,Dog,Hamster,Rabbit,Fish,Lizard,Horse,Dog,Cat,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:11,2025-08-24 16:56:12,2,,100,1,1,2025-08-24 16:56:12,R_cUd8K8pnDemblvE,,,,,,,test,,1,,2,,,3,,,1,2,,3,,,2,1,,2,,,2,1,,3,,,1,2,,1,,2,,1,,1,,,,2,1,,2,1,,2,51,Hamster,Turtle,Bird,Cat,Rabbit,Lizard,Guinea pig,Dog,Hamster,Horse,Fish,Bird,Rabbit,Horse,Guinea pig,Dog,Cat,Hamster,Lizard,Turtle,Cat,Fish,Lizard,Rabbit,Dog,Rabbit,Dog,Guinea pig,Turtle,Fish,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:12,2025-08-24 16:56:12,2,,100,0,1,2025-08-24 16:56:12,R_bBlHNZMbRAosRjU,,,,,,,test,,,,2,1,,1,,2,,1,,2,2,,,,1,3,2,1,,,,2,,2,,,1,3,,1,,,2,1,,,,1,1,,1,1,,1,52,Cat,Guinea pig,Fish,Bird,Dog,Dog,Cat,Hamster,Turtle,Horse,Horse,Rabbit,Turtle,Guinea pig,Lizard,Rabbit,Bird,Guinea pig,Hamster,Fish,Turtle,Horse,Dog,Lizard,Cat,Fish,Hamster,Bird,Rabbit,Guinea pig,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:12,2025-08-24 16:56:13,2,,100,1,1,2025-08-24 16:56:13,R_9uVaeV52lDym02W,,,,,,,test,,,2,,,1,1,,2,,1,,2,,,1,,2,2,,,2,1,,1,,1,,,2,2,1,,,,2,3,,,,2,2,,1,1,,2,53,Guinea pig,Bird,Lizard,Dog,Rabbit,Cat,Rabbit,Turtle,Horse,Hamster,Dog,Guinea pig,Cat,Turtle,Horse,Lizard,Horse,Rabbit,Bird,Fish,Turtle,Lizard,Guinea pig,Fish,Cat,Bird,Hamster,Fish,Lizard,Guinea pig,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:13,2025-08-24 16:56:13,2,,100,0,1,2025-08-24 16:56:13,R_2lCQLxNRuzp5iho,,,,,,,test,,,2,1,,,1,,2,,,1,3,,,,2,1,2,1,,2,,,3,,1,,,2,1,,,2,1,,1,,,,2,1,,2,2,,2,54,Bird,Hamster,Guinea pig,Turtle,Horse,Rabbit,Fish,Dog,Hamster,Guinea pig,Turtle,Horse,Rabbit,Cat,Fish,Dog,Guinea pig,Turtle,Lizard,Bird,Hamster,Bird,Cat,Rabbit,Lizard,Horse,Cat,Lizard,Dog,Rabbit,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:13,2025-08-24 16:56:14,2,,100,1,1,2025-08-24 16:56:14,R_5cYa1dCXbPelJQy,,,,,,,test,,,,2,1,,3,1,,,2,,3,,1,,2,,3,,2,,,1,3,,,2,1,,2,,1,2,,,2,,,,1,1,,1,2,,1,55,Guinea pig,Dog,Bird,Hamster,Horse,Lizard,Rabbit,Dog,Turtle,Fish,Fish,Guinea pig,Lizard,Dog,Rabbit,Bird,Turtle,Rabbit,Horse,Cat,Turtle,Fish,Guinea pig,Cat,Dog,Cat,Horse,Hamster,Lizard,Bird,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:14,2025-08-24 16:56:14,2,,100,0,1,2025-08-24 16:56:14,R_cH2e1m3forYX3yS,,,,,,,test,,,,,1,2,1,1,,,2,,3,,,1,,2,2,2,,,1,,1,1,,2,,,1,2,1,,,,3,,,,1,2,,1,1,,1,56,Fish,Lizard,Bird,Turtle,Horse,Turtle,Fish,Dog,Rabbit,Bird,Dog,Guinea pig,Rabbit,Lizard,Cat,Guinea pig,Rabbit,Fish,Hamster,Turtle,Lizard,Horse,Cat,Dog,Guinea pig,Cat,Bird,Hamster,Horse,Fish,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:14,2025-08-24 16:56:14,2,,100,0,1,2025-08-24 16:56:15,R_6DogyF8KhGcz9Qy,,,,,,,test,,2,,,1,,3,,2,,,1,1,,2,,,1,1,,,2,,1,1,,2,,,1,3,1,,,,2,2,,,,2,1,,1,2,,1,57,Rabbit,Hamster,Fish,Lizard,Cat,Turtle,Fish,Horse,Bird,Dog,Cat,Guinea pig,Turtle,Dog,Horse,Fish,Lizard,Cat,Guinea pig,Hamster,Guinea pig,Turtle,Bird,Horse,Lizard,Hamster,Dog,Rabbit,Cat,Turtle,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:15,2025-08-24 16:56:15,2,,100,0,1,2025-08-24 16:56:15,R_eF2UupyCUZI7nGm,,,,,,,test,,,2,1,,,2,,,,2,1,3,,2,1,,,2,2,,,1,,3,2,,,1,,1,,2,,1,,1,,,,1,1,,1,1,,2,58,Dog,Rabbit,Fish,Hamster,Cat,Cat,Dog,Lizard,Horse,Bird,Rabbit,Horse,Guinea pig,Bird,Turtle,Guinea pig,Hamster,Bird,Turtle,Dog,Fish,Lizard,Cat,Guinea pig,Horse,Lizard,Cat,Turtle,Fish,Hamster,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:15,2025-08-24 16:56:15,2,,100,0,1,2025-08-24 16:56:15,R_abXFlvvL2wImPrw,,,,,,,test,,,1,2,,,2,,,,1,2,1,2,,,1,,1,1,,,2,,2,2,1,,,,1,,,2,,1,1,,,,2,1,,1,2,,2,59,Fish,Horse,Bird,Dog,Lizard,Lizard,Rabbit,Horse,Guinea pig,Turtle,Turtle,Fish,Hamster,Horse,Cat,Cat,Bird,Rabbit,Turtle,Horse,Hamster,Guinea pig,Cat,Lizard,Rabbit,Dog,Turtle,Lizard,Fish,Hamster,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:15,2025-08-24 16:56:16,2,,100,1,1,2025-08-24 16:56:16,R_3IeIYs7hLJSo8tw,,,,,,,test,,,,1,,2,2,2,,1,,,3,1,,,2,,1,,,2,1,,2,,2,1,,,1,,,,2,1,3,,,,2,1,,1,1,,2,60,Guinea pig,Fish,Cat,Dog,Rabbit,Hamster,Lizard,Fish,Horse,Dog,Bird,Dog,Rabbit,Turtle,Horse,Horse,Turtle,Guinea pig,Lizard,Cat,Rabbit,Guinea pig,Bird,Fish,Hamster,Fish,Cat,Lizard,Hamster,Bird,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:16,2025-08-24 16:56:16,2,,100,0,1,2025-08-24 16:56:16,R_brxgTUFyJHQWAzI,,,,,,,test,,,,2,1,,3,,2,1,,,3,,1,2,,,3,,,,1,2,1,2,,1,,,2,,2,,1,,3,,,,2,2,,1,1,,2,61,Fish,Turtle,Lizard,Cat,Hamster,Horse,Dog,Rabbit,Fish,Lizard,Lizard,Guinea pig,Hamster,Bird,Dog,Hamster,Cat,Guinea pig,Horse,Rabbit,Rabbit,Horse,Turtle,Guinea pig,Cat,Cat,Hamster,Bird,Dog,Turtle,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:16,2025-08-24 16:56:17,2,,100,1,1,2025-08-24 16:56:17,R_87Cjz6eecyzqUiG,,,,,,,test,,,,1,2,,2,,,,1,2,1,,2,1,,,1,,2,,,1,1,,,2,,1,1,1,,2,,,2,,,,1,1,,1,2,,2,62,Guinea pig,Horse,Dog,Rabbit,Lizard,Lizard,Fish,Cat,Dog,Horse,Turtle,Bird,Hamster,Horse,Rabbit,Hamster,Dog,Fish,Bird,Cat,Fish,Guinea pig,Bird,Hamster,Turtle,Cat,Lizard,Horse,Guinea pig,Hamster,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:17,2025-08-24 16:56:17,2,,100,0,1,2025-08-24 16:56:17,R_cFJUOjGazJFg8Ga,,,,,,,test,,,1,2,,,3,2,,,,1,2,,2,,,1,2,,,,2,1,1,1,,,2,,2,,,1,,2,1,,,,2,1,,1,1,,1,63,Turtle,Cat,Guinea pig,Hamster,Rabbit,Bird,Fish,Hamster,Cat,Lizard,Horse,Hamster,Cat,Bird,Turtle,Guinea pig,Rabbit,Bird,Dog,Horse,Fish,Guinea pig,Turtle,Lizard,Dog,Dog,Lizard,Horse,Rabbit,Fish,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:17,2025-08-24 16:56:17,2,,100,0,1,2025-08-24 16:56:18,R_5ovVfGQF18xvkCG,,,,,,,test,,1,,,,2,2,2,1,,,,2,,2,,1,,2,,2,1,,,1,2,,,1,,3,2,,,,1,3,,,,1,2,,1,1,,1,64,Hamster,Fish,Turtle,Rabbit,Cat,Turtle,Rabbit,Dog,Horse,Lizard,Guinea pig,Lizard,Hamster,Cat,Rabbit,Fish,Turtle,Horse,Bird,Dog,Rabbit,Dog,Bird,Fish,Hamster,Cat,Bird,Lizard,Guinea pig,Fish,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:18,2025-08-24 16:56:18,2,,100,0,1,2025-08-24 16:56:18,R_41OvdDXMWAdhPqC,,,,,,,test,,,2,,,1,3,,,2,1,,2,,,,2,1,3,,,,2,1,2,,,,2,1,2,,,1,,2,1,,,,2,1,,1,1,,1,65,Horse,Lizard,Fish,Dog,Cat,Fish,Hamster,Turtle,Bird,Rabbit,Guinea pig,Dog,Bird,Rabbit,Hamster,Dog,Guinea pig,Hamster,Turtle,Lizard,Rabbit,Fish,Horse,Cat,Bird,Bird,Turtle,Rabbit,Lizard,Guinea pig,5d78cdd0-8145-11f0-b804-559a6c8a454f,
2025-08-24 16:56:18,2025-08-24 16:56:18,2,,100,0,1,2025-08-24 16:56:18,R_3dVd5IiYbbze6ua,,,,,,,test,,2,,1,,,3,2,,,1,,2,,,1,2,,2,,1,,2,,3,,,1,,2,3,,,1,2,,2,,,,1,1,,2,2,,2,66,Bird,Horse,Rabbit,Dog,Turtle,Rabbit,Bird,Dog,Guinea pig,Hamster,Turtle,Lizard,Horse,Cat,Fish,Lizard,Turtle,Fish,Hamster,Cat,Guinea pig,Cat,Bird,Rabbit,Horse,Horse,Hamster,Guinea pig,Fish,Bird,5d78cdd0-8145-11f0-b804-559a6c8a454f,
